MEGR3241_GPS_Logger_McLaren_Atlas_Compatible
time,GPSmph,GPStrack,GPSlat,GPSlong,GPSalt,GPSsats
23:30:15.453,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:15.554,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:15.651,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:15.652,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:15.753,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:15.850,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:15.952,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.050,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.051,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.153,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.251,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.351,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.450,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.450,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.551,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.650,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.751,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.848,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.849,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
23:30:16.951,1.278992,171.3417,35.316220047,-80.719705954,208.2768,sats
